entity	1,2,24672
physical entity	3,4,16,24,42,78176
abstraction|abstract entity	29,32,44,45,48,49,31894,43846
thing	24216,49633,50104,50380,50475,50586,50894,50910
object|physical object	5,35,16259,17098,17593,18170,19355,19717,19815,20445,21491,22196,23608,24202,25053,42945,49705,49775,49856,49918,49933,49941,49968,50007,50041,50048,50081,50203,50204,50336,50384,50583,50593,50704,50907,50936,50953
whole|unit	6,7,21,27,14681,19676,24256
congener	
living thing|animate thing	8,13,14,15
organism|being	9,10,11,12,17,18,19,20,6709,6710,6711,6716,6745,6746,6747,6748,6749,6773,6788,6790,6791,6793,6796,6797,7061,7065,7067,7070,7074,7075,7233,7234,7235,43565,52858,55198,55754,56031,56661,57537,57792,58387,69560,69990,69991,70130,70131,70132
benthos	
dwarf	
heterotroph	
parent	
life	43813
biont	
cell	6709,7439,9821,28915,28984,29130,29969,29972,29975,29978,30057,30071,30112,30121,30123,30128,30129,62710,63286,63287,63288,70031,70032
causal agent|cause|causal agency	17,49467,51092,51093,51095,51096,51098,53376,54013,56257,56695,58478,62107,77942,77944,79211
person|individual|someone|somebody|mortal|soul	51680,51682,51683,51685,51686,51689,51690,51698,51699,51701,51704,51705,51706,51717,51721,51722,51726,51727,51730,51736,51737,51740,51741,51742,51746,51747,51748,51749,51750,51751,51752,51753,51755,51756,51757,51760,51763,51765,51766,51767,51768,51769,51770,51772,51775,51777,51780,51781,51782,51784,51785,51787,51792,51793,51798,51821,52007,52019,52031,52503,52504,52505,52506,52507,52508,52509,52510,52511,52512,52513,52514,52516,52520,52536,52543,52569,52573,52574,52578,52581,52589,52599,52602,52609,52612,52614,52619,52636,52651,52684,52722,52747,52748,52771,52778,52787,52815,52841,52850,52876,52880,52881,52895,52896,52917,52918,52933,52934,52947,53002,53015,53021,53050,53055,53088,53092,53109,53110,53116,53127,53137,53229,53262,53311,53364,53366,53392,53397,53413,53439,53478,53496,53544,53549,53586,53603,53645,53650,53654,53708,53722,53735,53769,53773,53811,53813,53815,53825,53894,53924,53934,53939,53941,53953,53958,53961,53964,54029,54033,54050,54057,54069,54090,54108,54135,54138,54151,54180,54195,54202,54209,54236,54250,54264,54279,54284,54324,54367,54376,54384,54390,54413,54448,54487,54532,54595,54613,54627,54645,54646,54655,54677,54678,54774,54776,54810,54836,54838,54841,54854,54862,54913,54939,55014,55066,55067,55078,55079,55120,55122,55177,55233,55249,55253,55289,55300,55331,55333,55360,55371,55376,55388,55397,55399,55402,55443,55450,55457,55473,55480,55524,55536,55552,55563,55576,55594,55598,55642,55673,55684,55701,55717,55721,55747,55770,55797,55817,55836,55842,55858,55908,55911,55913,55921,55935,55953,55981,55997,56032,56051,56052,56091,56094,56112,56152,56154,56155,56156,56158,56160,56176,56188,56211,56266,56291,56299,56301,56304,56305,56323,56347,56353,56372,56390,56393,56402,56479,56482,56485,56512,56532,56558,56572,56585,56669,56693,56727,56817,56850,56875,56881,56902,56923,56931,56963,56975,56996,57001,57017,57028,57044,57052,57062,57063,57071,57085,57098,57110,57143,57160,57165,57180,57280,57297,57333,57364,57366,57368,57389,57416,57418,57424,57484,57503,57517,57539,57546,57566,57568,57580,57590,57595,57599,57600,57614,57615,57616,57624,57625,57634,57670,57675,57713,57720,57734,57746,57751,57765,57833,57834,57855,57865,57892,57910,57960,57975,57980,57981,57983,58033,58034,58053,58103,58117,58120,58123,58146,58149,58152,58160,58211,58212,58258,58266,58267,58268,58288,58318,58334,58336,58346,58374,58402,58441,58444,58470,58476,58516,58517,58520,58533,58540,58553,58561,58573,58575,58637,58654,58671,58675,58701,58727
animal|animate being|beast|brute|creature|fauna	6712,6713,6714,6715,6717,6718,6719,6720,6722,6723,6727,6731,6733,6737,6738,6739,6740,6741,6743,6750,6752,6753,6754,6770,6771,6774,6775,6777,6778,6779,6780,7064,7436,7474,9815,9830,10774,11243,11244,11245,11271,11272,12156,12589,13001,53330,55774
plant|flora|plant life	7062,62709,62712,62713,62714,62715,62716,62717,62739,62740,62741,62742,62743,62814,62818,62819,62820,62821,62822,62823,63273,63275,63276,63277,69985,69986,69988,70077,70124,70127,70133,70430
native	
natural object	12165,28860,28864,49549,49618,49632,49697,49713,49779,49781,49803,49909,50291,50388,50564,50612,50641,50825,50897,70002
substance	29106,29979,78177,78178,78186,78205,78384,78402,78901,78977,79571,79904,79906,80160,81051,81144
substance	25,26,78184,78193,78194,78195,78196,78223,78372,78719,78825,78907,78976,79211,79303,79533,79758,79767,79856,79963,80030,80068,80125,80528,80674,80686,80687,80712,81145,81148,81154
matter	22,23,50680,78180,78181,78182,78188,80157,80262,80401,80532,80774,80777,81142,81149
food|nutrient	7467,40985,40986,40995,41029,41056,41063,42614,43018,43174,43537,43556,78183,78187,79905
nutrient	43537
artifact|artefact	28,2929,14425,14455,14541,15317,15780,16672,16735,16920,16956,17216,17224,17852,17977,18007,18018,18029,18264,18328,19592,19602,20059,20095,20180,20491,20949,21214,21366,21921,22472,22604,23246,23782,23890,23899,24175,24187,24307,24671,24918,25516,25550,79261,80379
article	14651,15564,19893,21118,25431
psychological feature	30,31,41
cognition|knowledge|noesis	30878,30880,30881,30883,30905,31065,31099,31100,31180,31279,31326,31355,31356,31399,31485,31891,31929,33411,33568
motivation|motive|need	49405,49406,49414,49415,49435,49441
attribute	33,36,37,38,25823,25824,25825,25827,25828,25829,25892,25894,26191,26349,26350,26352,27304,27324,28450
